xqvg	修正
jpww	解围
jqge	纠葛
jyui	军师
kefu	客服
kjig	堪称
kkle	快了
ksqt	空缺
kvqm	亏钱
kvtj	喟叹
kxgo	跨过
kzjn	扣缴
kzuv	扣税
lcui	老实
lifa	理发
ligs	理工
lkxk	零星
lmts	连同
lpvi	列支
lqlm	榴莲
lrxl	乱象
lszi	聋子
lvxk	履行
mcxm	毛线
mcyi	毛衣
mdgo	迈过
mdiu	迈出
mdru	迈入
mgbi	懵逼
mifg	蜜蜂
miji	秘籍
mjzu	满族
mkvi	明知
mkxi	明晰
mmli	免礼
mmtj	免谈
moww	末位
mubj	木板
mwui	美食
nmji	年级
nmsv	碾碎
nuli	奴隶
nwce	内侧
nwli	内里
pdvc	牌照
pdxi	派息
pjug	盘升
pkjk	瓶颈
pnyi	漂移
pofw	颇费
poli	破例
qibu	岂不
qkjk	清静
qkse	青涩
qkyi	情谊
qlbi	枪毙
qlvi	墙纸
qmli	潜力
qmtc	嵌套
qnqn	瞧瞧
qrli	权力
qrtc	全套
quxn	取笑
rfvi	任职
rfxk	韧性
roui	若是
ruvi	乳汁
ruyj	入眼
sixb	私信
siyi	司仪
sjbu	散布
sjww	三维
sohv	索贿
soxk	所幸
sriu	算出
sruu	算术
suui	俗世
svji	随即
tcrc	叨扰
tdgc	抬高
tevi	特制
tiiu	剔除
tivi	体制
tiwf	体温
tjzi	毯子
tkbo	停播
tngc	跳高
tnks	跳空
tnyt	条约
toxp	拖鞋
tshx	童话
tsig	同城
tsqi	通气
tsui	同事
tvbu	腿部
tvdc	推导
tvfw	退费
tzkv	偷窥
tzxl	投降
uale	傻了
ueji	涉及
uevh	赊账
ufhx	深化
uftj	神坛
ufzi	身姿
ugcd	剩菜
ugfu	升幅
ugjl	生姜
ugli	生理
ugmk	声明
uigr	使馆
uihk	使坏
ujll	闪亮
uodc	说道
uuxb	书信
uvvi	谁知
uvli	水利
uzdc	收到
uzgs	收工
uzho	收货
uzji	收集
uzli	受理
uzna	手拿
uzxx	手下
vcbj	照办
vcll	着凉
vcxx	朝霞
vdqr	债券
vdzi	宅子
veli	哲理
vigr	只管
viqm	值钱
viwf	质问
vjxm	战线
vlie	撞车
vrhr	转圜
vrtz	转头
vrxl	专项
vryj	专研
vscd	仲裁
vsdm	终点
vsli	重力
vsui	忠实
vsxb	中心
vuti	主体
vuui	注释
vvhv	坠毁
vzqi	皱起
wdjp	外接
wdke	外壳
wdmc	外貌
wdug	外甥
wfuu	文殊
wfzi	蚊子
whba	王八
whji	旺季
whuh	往上
whve	王者
whyz	网友
wjle	晚了
wjvr	玩转
wjyi	玩意
wwfg	微风
xbsr	心算
xkhc	幸好
xkig	行程
xkji	性急
xkvi	兴致
xlbi	想必
xlfu	享福
xllm	相连
xlqi	象棋
xlsi	相思
xlts	相通
xlzi	巷子
xnhx	消化
xplz	泄漏
xsvh	兄长
xsww	雄伟
xubc	续保
xuui	虚实
xxdj	下蛋
ycdm	药店
ycui	钥匙
yjge	阉割
yjli	严厉
yrli	远离
yzgo	油锅
zavi	杂质
zcfj	造反
zcjq	造就
zcle	糟了
zcqi	早起
zdke	宰客
zifu	字符
zigs	自贡
ziuf	资深
zixy	资讯
zojx	作假
zsji	踪迹
zsvi	宗旨
zsxl	纵向
zuvi	阻止
zzjb	走近
cddj	彩蛋
godu	过渡
hcma	好吗
heui	何时
nabm	哪边
naci	哪次
nadm	哪点
naer	哪儿
nage	哪个
nali	哪里
natm	哪天
navs	哪种
naww	哪位
naxp	哪些
nayh	哪样
dcui	倒是
dglu	登陆
dixn	低效
djzi	胆子
fjia	反查
gcsu	高速
gcxn	高效
goqk	国情
grwh	官网
hove	活着
hxfw	话费
icmd	超卖
mddm	卖点
mdjx	卖家
mdpn	卖票
mdvu	卖主
mkmk	命名
mwqi	每期
mwrf	没人
uhci	赏赐
wfjm	稳健
yshu	拥护
zsui	宗师
anli	按理
anrj	黯然
anzi	暗自
wubi	五笔
zoww	座位
ttdd	妥妥当当
bebj	博而不精
bvbj	不着边际
ddnn	嘟嘟囔囔
eyxx	恶言相向
fmbl	分门别类
fybh	飞扬跋扈
gagh	隔岸观火
gwjl	高屋建瓴
hfym	花繁叶茂
jfby	金发碧眼
jgbg	将功补过
jjjj	将计就计
jjyt	济济一堂
mmhh	迷迷糊糊
mrtx	美若天仙
ppll	破破烂烂
qjbm	奇经八脉
rhmj	人欢马叫
rrqm	扰人清梦
ttkk	条条框框
ttmm	甜甜蜜蜜
ttyl	头痛欲裂
uqhy	深情厚谊
urwd	时日无多
usxy	食色性也
usyg	生死攸关
wbfr	我必犯人
wqby	为期不远
wvuy	万丈深渊
wyhy	毋庸讳言
xgwd	霞光万道
yfby	有法必依
yfit	一飞冲天
yqeb	一清二白
ywxw	一物降一物
yqwl	余情未了
zhii	自毁长城
zqqr	自取其辱
zqzl	在情在理
bsbj	百思不得其解
htby	横挑鼻子竖挑眼
htyu	回头一笑百媚生
ixdd	吃香的喝辣的
lubj	临时抱佛脚
mvuh	摸着石头过河
unum	十年生死两茫茫
vvyy	睁只眼闭只眼
wgjy	无规矩不成方圆
ymsd	一亩三分地
ynvi	一年之计在于春
yqbl	远亲不如近邻
yvqu	一朝权在手
ywsv	一问三不知
