光学字符识别	OCR
熟人	acquaintances
表加	TablePlus
隅石	coign
奥尔良	Orleans
相识	acquaintanceship
线圈	coil
表格	tables
AMD显卡	AMDgpu
ARM架构	Advanced RISC Machine
AV图像格式	AVImage File Format
Arch用户仓库	Arch User Repository
A站	AcFun
BNB链	BNB Chain
Backbone.js	Backbone.js
C#	C#
C++	C++
CUDA工具包	CUDA Toolkit
Chromium嵌入式框架	Chromium Embedded Framework
Clojure语言	Clojure
C加加	C++
C星	cstar
DEC工作站	DECstation
DEC磁带	DECtape
DEC系统	DECsystem
DEC网络	DECnet
DNS服务器	dnsmasq
ERC-	ERC-
Ember.js	Ember.js
F-Droid	F-Droid
GNU通用公共许可证	GNU General Public License
GPL许可证	GNU General Public License
GPS路由	GPSR
Gif制作器	Gif Brewery
GitHub副驾驶	GitHub Copilot
GitHub副驾驶X	GitHub Copilot X
GitHub副驾驶命令行	GitHub Copilot CLI
GitHub副驾驶聊天	GitHub Copilot chat
GitHub操作	GitHub Actions
GitHub页面	GitHub Pages
GitHub风格标记	GitHub Flavored Markdown
GoLand软件	GoLand
Gogs软件	Gogs
Go框架	GoFrame
Go语言	golang
HTTPS/上的DNS	DNS over HTTPS/
HTTPS上的DNS	DNS over HTTPS
IC卡	IC Card
IDEA社区	IDEA Community
IDEA终极版	IDEA Ultimate
IE浏览器	Internet Explorer
IP协议	internet protocol
IP安全协议	IPSec
IP版本	IPv
IdeaVim插件	IdeaVim
JSON网络密钥集	JWKS
Java企业版	Java EE
Java开发工具包	JDK
Java开发工具包	Java Development Kit
Java数据库连接	JDBC
Java虚拟机	JVM
Java虚拟机	Java Virtual Machine
Java运行环境	Java Runtime Environment
K介子	kaon
LM工作室	LM Studio
Linux子系统	WSL
Linux子系统	Windows Subsystem for Linux
Lisp间	interlisp
MIT许可证	MIT License
MS-DOS	MS-DOS
MX播放器	MX Player
MacDraw绘图软件	MacDraw
Macromedia公司	macromedia
Mac世界	macworld
Mac传闻	Mac Rumors
Mac字体工具	MacType
Mac小贴士	MacTips
Mac应用商店	Mac App Store
Mac文本编辑器	MacVim
Mac更新桌面	MacUpdate Desktop
Mac标识	MacID
Maven守护进程	mvnd
MyBatis增强	MyBatis-Plus
M团队	M-Team
NEAR协议	NEAR Protocol
Neovim编辑器	nvim
Next.js	Next.js
Node.js	node.js
Node包管理器	Node Package Manager
Nuxt框架	Nuxt
Objective-C	Objective-C
PDF专家	PDF Expert
PDF文件	PDFs
PL/pgSQL	PL/pgSQL
PyTorch框架	PyTorch
PyWebIO库	PyWebIO
QUIC上的DNS	DNS over QUIC
Q编辑	qedit
RDF站点摘要	RDF Site Summary
RFC	RFC
SIMULA语言	SIMULA
SPARC工作站	SPARCstation
SQLite数据库	SQLite
SQL数据库	SQL
SQL服务器	SQL Server
Simula语言	Simula
S形	sigmoid
TCP/IP	TCP/IP
Three.js	Three.js
ULTRIX系统	ULTRIX
UNIX	UNIX
Ultrix系统	Ultrix
Unix外壳	unix shell
Unix用户协会	Usenix
U形钩	clevis
VAX计算机	VAX
VEX论坛	VEX
VLC播放器	VLC
VLESS协议	VLESS
VRayA客户端	vrayA
VRayN客户端	vrayN
VRay代理	VRay
VRay核心	vray-core
Vite+	Vite+
V引擎	vengine
V引擎	VJS engine
V形	vee
V形臂章	chevron
Windows媒体播放器	Windows Media Player
X光	X-ray
X光照片	skiagraph
X射线学	roentgenology
X射线照相	roentgenography
X射线疗法	roentgenotherapy
X射线计	roentgenometer
YAML语言	YAML Ain't Markup Language
Y形	wye
子代理	subagent
ZD网	ZDnet
Z图书馆	Z-Library
Z壳	zsh
Z调制解调器	zmodem
gitignore文件	gitignore
iA写作软件	iA Writer
iCloud云盘	iCloud Drive
iCloud邮件	iCloud Mail
iPod经典版	iPod Classic
iTunes匹配	iTunes Match
iTunes商店	iTunes Store
iTunes连接	iTunes Connect
npm配置文件	.npmrc
nvALT软件	nvALT
n元语法	ngram
qBittorrent增强版	qBittorrentEE
qBittorrent增强版	qBittorrent Enhanced Edition
séance	séance
vBulletin论坛	vbulletin
vLLM框架	vLLM
vs.	vs.
x-	x-
yaml文件	.yaml
μ	mu
μ子	muon
π介子	pion
㺢㹢狓	okapi
䲟鱼	remora
䳍	tinamou
䴓	nuthatch
䴙䴘	grebe
一	one
一个	an
一些	some
一代	generation
一价的	univalent
一份	serving
一会儿	jiff
一位论化	Unitarianize
一位论派	Unitarian
一体	oneness
一元的	unary
一元碱的	monobasic
一元论	monism
一元论者	monist
一切	everything
一加	OnePlus
一勺	ladleful
一勺	spoonful
一勺的量	scoopful
一半	half
一半	moiety
一卷	wad
一卷	hank
一口	mouthful
一品红	poinsettia
一团	dollop
一块	gob
一夫一妻制	monogamy
一夫一妻的	monogamous
一夫一妻者	monogamist
一夫多妻制	polygyny
一妻制	monogyny
一妻多夫制	polyandry
一妻多夫的	polyandrous
一对	pair
一对	couple
一小块	gobbet
一尘不染	spotless
一岁崽	yearling
一帽量	capful
一年两次的	biannual
一战	WWI
一战	World War I
一打	dozen
一批	passel
一抱	armful
一抱	armload
一月	jan
一月	jan.
一本正经的	prim
一束	skein
一束	bunch
一条面包	loaf
一杯	cupful
一杯	glassful
一枝黄花	goldenrod
一次	once
一次性	throwaway
一次性	disposable
一氧化物	monoxide
一氧化碳	CO
一氧化碳	carbon monoxide
一流的	first-rate
一满盒	boxful
一烟斗的量	pipeful
一生	lifetime
一百二十	sixscore
一盘	dishful
一盘	plateful
一瞥	glance
一瞥	glimpse
一碗	bowlful
一神论	monotheism
一神论的	monotheistic
一神论者	monotheist
一窝	brood
一簇毛	floccus
一缕	wisp
一群	bevy
一群	covey
一致	jibe
一致	accord
一致地	unanimously
一致地	consistently
一致性	coherence
一致性	uniformity
一致的	congruous
一致的	accordant
一般的	general
一船货	boatload
一茶匙	teaspoonful
一袋	sackful
一角	dime
一角硬币	dimes
一起	together
一车货	cartload
一铲量	spadeful
一键	OneKey
一队	posse
一阵	whiff
一院制的	unicameral
丁基	butyl
丁字裤	thong
丁尼生	Tennyson
丁烷	butane
丁酸的	butyric
丁酸盐	butyrate
丁香	lilac
丁香	clove
丁鲷	tench
七	seven
七人	sevens
七倍	sevenfold
七倍的	septuple
七元组	heptad
七十	seventy
七十年代	seventies
七叶树	buckeye
七叶树果	conkers
七国时代	heptarchy
七巧板	tangram
七月	jul
七月	July
七极管	heptode
七步格	heptameter
七碱基	heptabase
七角的	septangular
七边形	heptagon
七进制的	septimal
七鳃鳗	lamprey
万事达卡	mastercard
万亿	trillion
万亿分之一	trillionth
万向节	gimbal
万圣节	Halloween
万圣节	allhallows
万塞	Wansee
万宝路	Marlboro
万寿菊	marigold
万岁	heil
万岁	viva
万斯	Vance
万斯利	Wansley
万斯门特	Vancement
万无一失	surefire
万无一失	foolproof
万物有灵论	animism
万物有灵论的	animistic
万物有灵论者	animist
万神殿	pantheon
万络	vioxx
万维网	www
万维网联盟	WC
万能药	panacea
万能钥匙	passkey
万花筒	kaleidoscope
万象	Vientiane
万豪	Marriott
丈夫	husband
三	iii
三	three
三K党	Klan
三K党成员	klansman
三世	sansei
三人组	threesome
三价的	trivalent
三份	triplicate
三位一体	trine
三位一体	triune
三位一体的	trinitarian
三体船	trimaran
三便士	threepence
三倍	triple
三倍	treble
三倍体	triploid
三倍地	trebly
三倍的	trinal
三元的	ternary
三元的	tribasic
三出的	ternate
三分	trifurcate
三分法	trichotomy
三列桨战船	trireme
三十	thirty
三十	thirties
三十天	trental
三叉戟	trident
三叠纪	trias
三叠纪	Triassic
三叶	trifoliate
三叶草	clover
三叶草	trefoil
三叶虫	trilobite
三合会	triad
三合元音	triphthong
三头执政	triumvir
三头政治	triumvirate
三头肌	triceps
三婚	trigamy
三婚者	trigamist
三字母	trigraph
三字母的	triliteral
三字经	trigram
三尖瓣	tricuspid
三年一次	triennial
三形	triform
三战	WWIII
三战	World War III
三振出局	strikeout
三方	tripartite
三明治	sandwich
三星	Samsung
三星盖乐世	Samsung Galaxy
三月	mar.
三月	March
三极管	triode
三极管	trisistor
三桅帆船	barque
三桅帆船	felucca
三棱的	triquetrous
三次	thrice
三段论	syllogism
三段论地	syllogistically
三段论的	syllogistic
三氧化物	trioxide
三洋	sanyo
三点	trey
三焦点	trifocal
三硝基甲苯	trinitrotoluene
三神论者	tritheist
三端双向可控硅	triac
三等分	trisect
三等分	trisection
三美分	trime
三翼机	triplane
三联画	triptych
三聚氰胺	melamine
三股线	tricoline
三胞胎	triplet
三脚架	tripod
三色堇	pansy
三色堇	pansies
三色的	trichrome
三艺	trivium
三苯甲烷	triphenylmethane
三菱	mitsubishi
三行诗	tercet
三行诗	triolet
三裂植物	triffid
三裂的	trifid
三裂的	trilobate
三角	trig
三角学	trigonometry
三角学的	trigonometric
三角帆	lateen
三角帽	tricorn
三角座	Triangulum
三角形	trigon
三角形	triangle
三角形的	triangular
三角旗	pennon
三角洲	delta
三角测量	triangulate
三角测量法	triangulation
三角的	trigonal
三角肌	deltoid
三角龙	Triceratops
三语	triglot
三趾滨鹬	Sanderling
三趾鸥	kittiwake
三趾鸦雀	santch
三轮车	pedicab
三轮车	tricycle
三轴	triax
三边的	trilateral
三部曲	trilogy
三重奏	trio
三钟经	angelus
三面体	trihedron
三面的	trihedral
三音步	trimeter
三驾马车	troika
上	sur
上	supra
上下动	bobbing
上传	upload
上传中	uploading
上侧	topside
上光	glossed
上光	glossing
上冲程	upstroke
上勾拳	uppercut
上升	ups
上升	rise
上升气流	updraft
上升的	ascendant
上升的	ascending
上升趋势	uptrend
上午	forenoon
上午中段	midmorning
上坡	uphill
上坡	acclivity
上坡的	acclivitous
上城区	uptown
上墨	inking
上层	superstratum
上层建筑	superstructure
上岸	ashore
上帆	topsail
上帝	God
上手	overarm
上手	overhand
上新世	Pliocene
上标	superscript
上标	superscription
上校	colonel
上桅	topgallant
上海	Shanghai
上清液	supernatant
上游	upriver
上游	upstream
上漆的	lacquered
上演	staging
上演的	staged
上瘾的	hooked
上瘾的	addicted
上皮的	epithelial
上皮组织	epithelium
上篮	layup
上级	superior
上翘	uptilt
上腰肉牛排	porterhouse
上船	onboard
上色	colorise
上色	colorize
上蜡	waxing
上蜡的	waxed
上蜡者	waxer
上行链路	uplink
上覆的	superincumbent
上诉	appeal
上诉了	appealed
上诉人	appellor
上诉人	appellant
上诉的	appellate
上诉者	appealer
上车	embus
上述	abovementioned
上述的	aforementioned
上部的	upper
上釉	glaze
上釉	enameling
上釉工	glazer
上釉的	glazed
上釉的	enameled
上镜的	photogenic
上面	above
上领	collaring
上颌的	maxillary
上颌骨	maxilla
上颚	palate
下一个	next
下丘脑	hypothalamus
下主音	subtonic
下伏的	subjacent
下伸部分	descender
下体盖片	codpiece
下划线	underlining
下加利福尼亚	Baja
下午	pm
下午	afternoon
下午茶时间	teatime
下唇	underlip
下坡	downhill
下垂	sag
下垂	droop
下垂的	loppy
下垂的	saggy
下垫	underlay
下士	caporal
下士	corporal
下射的	undershot
下层	understratum
下层灌木	underbrush
下层灌木	undergrowth
下层阶级	underclass
下属	underling
下属	subordinate
下巴	jaw
下巴	chin
下悬的	underslung
下拉	pulldown
下推	pushdown
下搭	underlap
下摆	hems
下摆	hemline
下文	hereinafter
下方	below
下月	proximo
下标	subscript
下毒	envenom
下水道	sewer
下沉	sink
下沉	sinkage
下注	staked
下流	indecency
下流的	bawdy
下流的	ribald
下流话	ribaldry
下游	downstream
下溢	underflow
下界	nether
下疳	chancre
下等	inferiority
下等人	inferiors
下等的	inferior
下细雨的	drizzly
下置	underset
下翼	underwing
下腹的	hypogastric
下船	debark
下船	disembark
下落	whereabouts
下落断层	downthrow
下落的	cadent
下行链路	downlink
下车	detrain
下载	download
下载	telecharger
下述	undermentioned
下部结构	substructure
下降	decline
下降	descent
下降的	falling
下降的	declined
下降者	decliner
下降趋势	downtrend
下降风	katabatic
下雨	raining
下雨了	rained
下雪	snows
下雪	snowing
下雪了	snowed
下雪地	snowily
下面	underneath
下颌下的	submaxilary
下颌下的	submaxillary
下颌的	mandibular
下颌骨	mandible
下风	alee
下飞机	deplane
下马	dismount
下马中	dismounting
不	ne
不	un
不一致	discrepant
不一致	discordance
不一致地	inconsistently
不丹	Bhutan
不久	anon
不久	shortly
不义	unrighteous
不习惯	unaccustomed
不人道的	inhumane
不仁慈	uncharitable
不令人信服的	unconvincing
不令人满意的	dissatisfactory
不优雅	ungraceful
不会	wo'nt
不会	won't
不会飞的	flightless
不伦瑞克	Brunswick
不体贴	inconsiderate
不体贴	inconsiderateness
不体贴地	inconsiderately
不体面	undignified
不体面	unpresentable
不作为	inaction
不作为	nonfeasance
不佳	poorly
不依赖	nonreliance
不侵犯	nonaggression
不便	incommodious
不便	inconvenience
不便地	inconveniently
不便的	inconvenient
不便的	inconvenienced
不信	unbelief
不信任	mistrust
不信任	distrust
不信任的	mistrusted
不信任的	mistrustful
不信服的	unconvinced
不信的	unbelieving
不信者	unbeliever
不倦	unwearied
不倦	tirelessness
不倦的	indefatigable
不值得	undeserving
不值得	unworthiness
不值得地	unworthily
不值得的	unworthy
不值得羡慕	unenviable
不假思索的	unreflecting
不偏离	undeviating
不停	unceasing
不停	ceaselessness
不停地	endlessly
不停地	ceaselessly
不停的	ceaseless
不健全	unsound
不健康	unhealthy
不健康	insalubrity
不健康地	unhealthily
不健康的	epinosic
不健康的	insalubrious
不像	unlike
不像	unlidely
不像女人的	unwomanly
不允许	unallowed
不允许的	impermissible
不光彩的	inglorious
不公	unfair
不公	unjust
不公地	unfairly
不公正划分选区	gerrymander
不兼容	incompatible
不兼容	incompatibility
不兼容地	incompatibly
不兼容性	incompatibilities
不再	anymore
不准	mustn't
不准确	inaccuracy
不准确	inaccuracies
不准确的	inaccurate
不凋的	amaranthine
不出所料	unsurprisingly
不分离	indiscrete
不分离	nondisjunction
不切实际	impractical
不切实际	impractically
不切实际地	unrealistically
不切实际的	quixotic
不切实际的	unrealistic
不列颠人	Briton
不列颠的	Britannic
不利	adverse
不利	unfavorable
不利地	adversely
不利地	unfavorably
不利的	unfavourable
不利的	disadvantageous
不加批判的	uncritical
不加掩饰	undisguised
不加选择	indiscriminate
不加选择地	indiscriminately
不动	unmoved
不动	immobility
不动关节	synarthrosis
不动的	immobile
不劳而获的	unearned
不匀的	patchy
不匀称	unshapely
不匹配	mismate
不匹配	mismatch
不匹配的	mismatched
不协调	incongruity
不协调	inconsonant
不协调的	incoordinate
不协调的	uncoordinated
不卫生	unsanitary
不卫生的	insanitary
不参与	nonparticipating
不及格	flunk
不及物	intransitive
不及物地	intransitively
不友善	unkind
不友善	unkindness
不友善地	unkindly
不友好	unfriendly
不发光	nonluminous
不受影响地	imperviously
不受影响的	impervious
不受影响的	uninfluenced
不受欢迎	unwelcome
不受欢迎	unpopular
不受约束的	unfettered
不变	unvarying
不变	unchanging
不变化的	indeclinable
不变地	immutably
不变地	invariantly
不变性	invariance
不变性	immutability
不变的	invariant
不变的	immutable
不变量	invariants
不可上诉	unappealable
不可伪造的	unforgeable
不可估量	inestimable
不可估量	incalculable
不可估量性	imponderability
不可估量的	imponderable
不可侵犯	inviolability
不可侵犯地	inviolably
不可侵犯性	inviolacy
不可侵犯的	inviolable
不可信	untrustworthy
不可兑换性	inconvertibility
不可兑换的	inconvertible
不可凝	incondensability
不可分	inseparable
不可分割的	impartible
不可分地	inseparably
不可分性	indivisibility
不可分性	inseparability
不可分析	unanalyzable
不可分的	indivisible
不可分解	indissoluble
不可分解	undecomposable
不可分解性	indissolubility
不可判定	undecidable
不可剥夺	unalienable
不可剥夺	inalienability
不可剥夺性	unalienability
不可剥夺的	inalienable
不可协商	nonnegotiable
不可压缩	incompressible
不可原谅	inexcusable
不可原谅	unpardonable
不可原谅地	inexcusably
不可取	inadvisability
不可取的	inadvisable
不可变	unchangeable
不可变更	incommutable
不可否认	undeniable
不可否认地	undeniably
不可复制	irreproducible
不可复制性	irreproducibility
不可定义性	undefinability
不可实现	unachievable
不可察觉	imperceptibility
不可屏蔽	nonmaskable
不可废除	indefeasible
不可征服	unconquerable
不可得	unattainability
不可忽略	nonnegligible
不可思议	inconceivable
不可思议性	inconceivability
不可想象的	unthinkable
不可感知	impalpability
不可感知的	impalpable
不可或缺	indispensable
不可或缺地	indispensably
不可执行	inexecutable
不可扩展	nonextensible
不可抑制的	insuppressible
不可抗拒	irresistible
不可抵抗的	resistless
不可抹	ineffaceable
不可接受	unacceptable
不可接受地	unacceptably
不可接受性	unacceptability
不可接纳	inadmissibility
不可接纳的	inadmissible
不可接触性	untouchability
不可接触的	untouchable
不可控	incontrollable
不可控	uncontrollable
不可控地	uncontrollably
不可控性	uncontrollability
不可描述	indescribable
不可描述性	indescribability
不可携带	nonportable
不可摧毁地	indestructibly
不可摧毁性	indestructibility
不可摧毁性	indestructibleness
不可摧毁的	indestructible
不可撤销地	irrevocably
不可撤销性	irrevocability
不可撤销的	irrevocable
不可撤销的	imperscriptible
不可改变	unalterable
不可改变地	unalterably
不可改变的	inalterable
不可改造的	irreclaimable
不可救药	irremediable
不可救药性	incorrigibility
不可救药的	irredeemable
不可救药的	incorrigible
不可教	ineducable
不可数地	uncountably
不可数的	uncountable
不可替代	irreplaceable
不可检测	undetectable
不可治愈地	incurably
不可治愈性	incurability
不可治愈的	incurable
不可治的	immedicable
不可注入的	infusible
不可测地	immeasurably
不可测性	immeasurability
不可测的	immeasurable
不可消耗	inconsumable
不可溶	insoluble
不可溶性	insolubility
不可满足性	unsatisfiability
不可满足的	unsatisfiable
不可熄灭的	inextinguishable
不可燃的	moncombustible
不可爱	unloveliness
不可理解	incomprehensible
不可理解地	incomprehensibly
不可理解性	incomprehensibility
不可用	unusable
不可用	unavailable
不可知	unknowable
不可知论	agnosticism
不可知论者	agnostic
不可破坏的	infrangible
不可磨灭	indelible
不可移动地	immovably
不可移动性	immovability
不可移动的	immovable
不可穿透	impenetrable
不可穿透	impenetrability
不可穿透地	impenetrably
不可简化地	irreducibly
不可简化的	irreducible
不可纠正的	uncorrectable
不可缓解的	immitigable
不可编程	nonprogrammable
不可能	impossible
不可能	impossibly
不可能地	improbably
不可能性	improbability
不可能的	improbable
不可行	inviable
不可行	nonviable
不可行的	unworkable
不可观察的	unobservable
不可言	ineffable
不可言传	incommunicable
不可计算	uncomputable
不可计算	incomputable
不可证明	unprovable
不可证明	indemonstrable
不可证明性	unprovability
不可调和的	irreconcilable
不可赎的	inexpiable
不可辩护	indefensible
不可辩护性	indefensibility
不可辩驳性	irrefutability
不可逆地	irreversibly
不可逆性	irreversibility
不可逆的	irreversible
不可通约	incommensurable
不可通行	impassability
不可通行的	impassable
不可逾越	insurmountable
不可逾越性	insuperability
不可逾越的	insuperable
不可逾越的	unbridgeable
不可避免	ineludible
不可避免	inevitable
不可避免地	inevitably
不可避免地	unavoidably
不可避免的	unavoidable
不可降解	nonbiodegradable
不可靠	undependable
不可靠性	unreliability
不可靠的	unreliable
不可预测	unpredictable
不可预测地	unpredictably
不可预测性	unpredictability
不可食	inedible
不可饶恕	irremissible
不合作的	uncooperative
不合时宜	inopportune
不合时宜	untimeliness
不合时宜的	malapropos
不合格	ineligible
不合格	unqualified
不合格的	substandard
不合理	unreason
不合理	unreasonableness
不合理地	unreasonably
不合理地	irrationally
不合理性	irrationality
不合理的	irrational
不合理的	unreasonable
不合群	unsociable
不合群的	asocial
不合群的	unclubbable
不合群者	misfit
不合语法	ungrammatical
不合适	unsuitable
不合适	unsuitability
不合适的	unfitting
不合适的	unbefitting
不合逻辑	illogical
不合逻辑地	illogically
不合逻辑性	illogicality
不同	differ
不同	disparate
不同了	differed
不同地	variously
不同地	differently
不同情	unsympathetic
不同意	disagree
不同步	unsynchronized
不同的	distinct
不同的	defferent
不同者	differers
不吸引人	unattractive
不吸引人地	unattractively
不和	discord
不和	disaccord
不和蔼	unamiable
不和谐	dissonance
不和谐	inharmonic
不和谐的	dissonant
不和谐的	discordant
不善交际	unsociability
不善言辞	ineloquent
不喜欢	mislike
不喜欢	dislike
不圆滑的	tactless
不在场证明	alibi
不均匀	nonuniform
不均匀性	inhomogeneity
不均匀性	nonuniformity
不均匀的	inhomogeneous
不太可能	unlikely
不妥协	intransigent
不妥协	uncompromising
不存在	nonexistent
不存在	nonexistence
不孝的	unfilial
不学术	unscholarly
不安	unease
不安	uneasy
不安全	unsafe
不安全	insecure
不安全地	unsafely
不安全地	insecurely
不安全感	insecurity
不安地	uneasily
不安地	restlessly
不安的	squirmy
不安的	unquiet
不完全地	incompletely
不完整	incomplete
不完整性	incompleteness
不完美	imperfectness
不完美地	imperfectly
不完美的	imperfect
不定式	infinitive
不定式的	infinitival
不宜呼吸	irrespirable
不宜婚	unmarriageable
不宜居住的	uninhabitable
不宜居的	inhospitable
不宜工作	NSFW
不宜工作	Not Safe For Work
不实	inveracity
不实在	unsubstantial
不实在的	insubstantial
不实用	unpractical
不宣誓	nonjuring
不害	ahimsa
不害羞	unashamed
不害臊的	unabashed
不容忍	intolerance
不容忍的	intolerant
不对	amiss
不对称	asymmetry
不对称	asymmetric
不对称地	asymmetrically
不寻常	unusual
不寻常的	offbeat
不寻常的	unwonted
不导电	nonconducting
不尊重	disrespect
不尊重的	disrespectful
不小心	unwarily
不屈的	unbowed
不屈的	unbending
不履行	nonperformance
不干涉	noninterference
不干预	nonintervention
不平	uneven
不平	unevenness
不平地	unevenly
不平等	unequal
不平等	imparity
不平等地	unequally
不平衡的	lopsided
不幸	mishap
不幸	mischance
不幸事故	misadventure
不幸地	haplessly
不幸地	unhappily
不幸的	hapless
不幸的	unlucky
不幸者	unfortunates
不应得	unmerited
不应得	undeserved
不张扬	unostentatious
不当	improper
不当	untoward
不当行为	misconduct
不当行为	misbehavior
不得体的	unbecoming
不得体的	indecorous
不必	needn't
不必要	needless
不必要	unnecessary
不必要地	needlessly
不必要地	unnecessarily
不忠	disloyal
不忠	disloyalty
不忠地	faithlessly
不忠地	unfaithfully
不忠的	faithless
不快	umbrage
不快乐	unhappy
不快乐的	joyless
不恰当	infelicity
不恰当	inapposite
不恰当的	infelicitous
不悔	impenitence
不悔的	impenitent
不悦	displeasing
不悦的	displeased
不情愿	loath
不情愿	grudging
不情愿地	grudgingly
不情愿地	reluctantly
不情愿的	reluctant
不愉快	unpleasantness
不意外	unsurprising
不感兴趣	uninterested
不感恩的	unthankful
不愿意	unwilling
不愿的	disinclined
不懈	relentless
不懈	relentlessness
不懈地	relentlessly
不懈的	unflagging
不懈的	unrelenting
不成文的	unwritten
不成比例	disproportion
不成比例	disproportional
不成比例地	disproportionately
不成熟	immaturity
不成熟的	immature
不成调的	tuneless
不扩散	nonproliferation
不承认	nonrecognition
不抚养	nonsupport
不抵抗	nonresistance
不抵抗的	nonresistant
不担忧	unapprehensive
不接受	nonacceptance
不敏感	insensitive
不敏感	insensitivity
不敏感地	insensitively
不敏锐的	imperceptive
不敢	daren't
不敬	impiety
不敬	irreverent
不敬的	impious
不敬神	ungodliness
不敬神的	ungodly
不整合	unconformity
不整合	unconformable
不整洁	untidiness
不文明	uncivil
不断地	constantly
不新鲜	stale
不明智	unwise
不明智	unwisdom
不明智地	unwisely
不明智的	injudicious
不明飞行物	UFO
不明飞行物	Unidentified Flying Object
不明飞行物学家	ufologist
不易感	insusceptible
不易感	insusceptibility
不易激动	inexcitable
不易燃	nonflammable
不易爆的	inexplosive
不易腐	nonperishable
不是	ain't
不是	isn't
不显眼	inconspicuous
不显眼地	inconspicuously
不显眼的	unobtrusive
不显眼的	unnoticeable
不服从	disobey
不服从	recusancy
不服从中	disobeying
不服从的	disobedient
不服从的	insubordinate
不服从者	recusant
不朽	immortality
不朽地	immortally
不朽性	imperishability
不朽的	undying
不朽的	immortal
不来梅	Bremen
不民主	undemocratic
不气馁	undismayed
不沟通	noncommunication
不法之徒	outlaw
不法行为	delict
不法行为	wrongdoing
不注意	unheeding
不注意	heedlessness
不注意地	heedlessly
不注意的	heedless
不洁	unclean
不洁	uncleanness
不洁地	uncleanly
不活跃	inactivity
不活跃的	inactive
不混溶	immiscible
不清楚	unclear
不渗透性	impermeability
不渗透的	impermeable
不满	grievance
不满	discontent
不满意	unsatisfactory
不满的	malcontent
不满的	disaffected
不满足的	unsatisfying
不灵活	inflexibility
不熟悉	unversed
不熟悉	unacquainted
不熟练	unskillful
不熟练的	inexpert
不燃	noncombustible
不燃性	incombustibility
不燃的	incombustible
不爱国的	unpatriotic
不理智的	unreasoning
不理解	incomprehension
不生锈的	rustless
不相信	disbelieve
不相称	incommensurate
不真实	untrue
不真实	unreality
不真实的	unreal
不真诚	insincere
不真诚	insincerity
不眨眼的	unwinking
不知不觉地	insensibly
不知何故	somehow
不知情	unknowing
不知情的	unwitting
不知情的	uninformed
不知疲倦地	tirelessly
不知疲倦的	tireless
不知疲倦的	untiring
不知道	dunno
不确定	unsure
不确定	uncertain
不确定地	uncertainly
不确定地	indeterminately
不确定性	uncertainty
不确定性	indeterminacy
不确定的	indeterminate
不确定的	nondeterminate
不礼貌	impolite
不礼貌	ungracious
不神圣	unholiness
不祥	ominousness
不祥	inauspicious
不祥地	ominously
不祥的	ominous
不祥的	portentous
不科学	unscientific
不稳固	unsteady
不稳地	unsteadily
不稳定	unstable
不稳定	precarious
不稳定地	erratically
不稳定地	precariously
不稳定的	labile
不稳定的	erratic
不等像的	aniseikonic
不等边的	scalene
不管	regardless
不粘合的	incohesive
不精确	inexact
不精确	imprecise
不精确地	imprecisely
不紧密	incompact
不纯的	impure
不绅士	ungentlemanly
不终止	nonterminating
不终止	nontermination
