安全	aq
安排安排	apap
安贫乐道	apld
哀其不幸	aqbx
安全第一	aqdy
爱情价更高	aqjg
鞍前马后	aqmh
安全起见	aqqj
爱钱如命	aqrm
安全系数	aqxu
安然如故	arrg
安然入睡	arru
安然入眠	arrm
傲然挺立	artl
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
安然无恙	arwy
安然无事	arwu
黯然销魂	arxh
傲然屹立	aryl
安然自若	arzr
阿塞拜疆	asbj
埃塞俄比亚	asey
艾森豪威尔	ashe
爱斯基摩	asjm
阿斯马拉	asml
阿司匹林	aspl
暗送秋波	asqb
阿斯塔纳	astn
凹凸不平	atbp
暗通款曲	atkq
按图索骥	atsj
安土重迁	atvq
凹凸有致	atyv
哀痛欲绝	atyj
碍手碍脚	auaj
爱说不说	aubu
安守本分	aubf
安神定魄	audp
阿什哈巴德	auhd
昂首阔步	aukb
暗室亏心	aukx
安身立命	aulm
爱沙尼亚	auny
傲视群雄	auqx
昂首挺胸	autx
唉声叹气	autq
安身之地	auvd
安身之所	auvs
安史之乱	auvl
安身之处	auvi
昂首望天	auwt
爱生恶死	auws
安枕而卧	avew
安知非福	avff
安知非祸	avfh
暗中摸索	avms
安装目录	avml
安之若素	avrs
安枕无忧	avwy
爱之欲其生	avyu
安慰安慰	awaw
爱屋及乌	awjw
暗无天日	awtr
爱信不信	axbx
暗箱操作	axcz
按需分配	axfp
按下葫芦起来瓢	axhp
暗下决心	axjx
爱新觉罗	axjl
安心乐意	axly
安享晚年	axwn
暗香疏影	axuy
爱惜羽毛	axym
爱因斯坦	ayst
安营扎寨	ayvv
安有完卵	aywl
安于现状	ayxv
爱憎分明	azfm
腌臜泼才	azpc
暗自庆幸	azqx
爱咋咋地	azzd
必须	bx
不同	bt
保证	bv
并且	bq
必要	by
不再	bz
比赛	bs
本来	bl
不然	br
不饿	be
北爱尔兰	bael
不安好心	bahx
不按常理	bail
不按常理出牌	baip
不安全	baq
不卑不亢	bbbk
褒贬不一	bbby
百病不侵	bbbq
不比不知道	bbbd
逼逼叨叨	bbdd
百般刁难	bbdn
不必当真	bbdv
逼不得已	bbdy
巴巴多斯	bbds
包办代替	bbdt
并不多见	bbdj
步步登高	bbdg
不必多礼	bbdl
百般奉承	bbfi
百般抚慰	bbfw
步步高升	bbgu
比比划划	bbhh
包办婚姻	bbhy
百步穿杨	bbiy
百病缠身	bbiu
比比皆是	bbju
步步惊心	bbjx
步步紧逼	bbjb
标本兼治	bbjv
白白净净	bbjj
必不可少	bbku
必不可缺	bbkq
八百里	bbl
步步莲花	bblh
冰冰凉凉	bbll
便把令来行	bblx
白白浪费	bblf
爸爸妈妈	bbmm
白白嫩嫩	bbnn
别不耐烦	bbnf
抱不平	bbp
白白胖胖	bbpp
彪炳千古	bbqg
跛鳖千里	bbql
兵败如山倒	bbrd
并不容易	bbry
并不认为	bbrw
蹦蹦跳跳	bbtt
并不是说	bbuu
帮不上忙	bbum
步步生莲	bbul
彪炳史册	bbuc
并不知道	bbvd
百般折磨	bbvm
八拜之交	bbvj
不辨真伪	bbvw
不白之冤	bbvy
白璧微瑕	bbwx
步步为营	bbwy
并不完全	bbwq
被逼无奈	bbwn
卑鄙无耻	bbwi
兵不血刃	bbxr
并不需要	bbxy
彬彬有礼	bbyl
兵不厌诈	bbyv
并不一定	bbyd
并不意外	bbyw
饱饱眼福	bbyf
不必言谢	bbyx
巴布亚新几内亚	bbyy
不必在意	bbzy
不把自己当外人	bbzr
百般阻挠	bbzn
不辞而别	bceb
不测风云	bcfy
本草纲目	bcgm
包藏祸心	bchx
不存芥蒂	bcjd
病从口入	bckr
病从口入，祸从口出	bcki
不错了	bcl
不辞劳苦	bclk
百辞莫辩	bcmb
抱残守缺	bcuq
辩才无碍	bcwa
博茨瓦纳	bcwn
饱餐一顿	bcyd
不得安宁	bdan
不得不	bdb
宝刀不老	bdbl
百毒不侵	bdbq
不得不低头	bdbt
不大不小	bdbx
百读不厌	bdby
不得不服	bdbf
不单单	bdd
不大对劲	bddj
不登大雅之堂	bddt
不登大雅	bddy
不得而知	bdev
背道而驰	bdei
拔地而起	bdeq
波德戈里察	bdgi
不得好死	bdhs
不当回事	bdhu
白底黑字	bdhz
不到长城非好汉	bdih
不对劲	bdj
兵多将广	bdjg
不懂就问	bdjw
遍地开花	bdkh
不大可能	bdkn
不打诳语	bdky
不得了了	bdll
布达拉宫	bdlg
不达目的	bdmd
表达能力	bdnl
布达佩斯	bdps
不定期	bdq
不得其法	bdqf
不得其所	bdqs
北斗七星	bdqx
不得人心	bdrx
不动如山	bdru
冰冻三尺	bdsi
冰冻三尺，非一日之寒	bdsh
不断提高	bdtg
拔得头筹	bdti
不动声色	bdus
不得善终	bduv
不懂装懂	bdvd
不雕琢不成器	bdvq
本单位	bdw
宝刀未老	bdwl
北斗星	bdx
拔刀相助	bdxv
北大西洋	bdxy
半大小子	bdxz
不等于	bdy
笨得要死	bdys
弊大于利	bdyl
步调一致	bdyv
不得有误	bdyw
半吊子	bdz
不打自招	bdzv
避而不见	bebj
避而不答	bebd
避而不谈	bebt
备而不用	beby
不二法门	befm
不二法则	befz
贝尔格莱德	begd
布尔乔亚	beqy
白俄罗斯	bels
布尔什维克	beuk
不二之选	bevx
巴尔扎克	bevk
不分彼此	bfbc
百发百中	bfbv
白发苍苍	bfcc
不复从前	bfcq
不复存在	bfcz
不负此生	bfcu
百废待兴	bfdx
不复当年	bfdn
不法分子	bffz
不分高下	bfgx
八方呼应	bfhy
不费吹灰之力	bfil
百废俱兴	bfjx
暴风疾雨	bfjy
白费口舌	bfku
白费力气	bflq
兵分两路	bfll
不分你我	bfnw
不服气	bfq
不分青红皂白	bfqb
不乏其人	bfqr
不分轻重	bfqv
白发青衫	bfqu
不负如来不负卿	bfrq
不负所托	bfst
悲愤填膺	bfty
不负韶华	bfuh
百分之百	bfvb
不法之徒	bfvt
不负众望	bfvw
百分之一	bfvy
变法维新	bfwx
变废为宝	bfwb
不放心	bfx
白费心机	bfxj
不分轩轾	bfxv
不法行为	bfxw
暴风雨	bfy
不费一兵一卒	bfyz
并非易事	bfyu
笔锋一转	bfyv
不发一言	bfyy
不负责任	bfzr
不放在眼里	bfzl
半工半读	bgbd
不管不顾	bgbg
不管不问	bgbw
不干不净	bgbj
笔耕不辍	bgbi
包工包料	bgbl
八个不忿	bgbf
不共戴天	bgdt
半个多世纪	bgdj
半个多月	bgdy
半个多小时	bgdu
不过尔尔	bgee
不告而取	bgeq
不敢苟同	bggt
不敢高攀	bggp
不甘后人	bghr
不敢或忘	bghw
百感交集	bgjj
不甘寂寞	bgjm
不管了	bgl
不甘落后	bglh
八国联军	bglj
波光粼粼	bgll
不敢掠美	bglm
卑躬屈膝	bgqx
不过如此	bgrc
闭关锁国	bgsg
不够塞牙缝	bgsf
不管三七二十一	bgsy
博古通今	bgtj
不关痛痒	bgty
半个世纪	bguj
不甘示弱	bgur
兵贵神速	bgus
杯弓蛇影	bguy
不敢擅专	bguv
半个钟头	bgvt
秉公执法	bgvf
百舸争流	bgvl
不敢置信	bgvx
悲观主义	bgvy
不敢妄言	bgwy
报告文学	bgwx
别跟我说	bgwu
不更新	bgx
不敢相信	bgxx
不感兴趣	bgxq
半个小时	bgxu
不顾一切	bgyq
不够意思	bgys
不苟言笑	bgyx
不敢越雷池一步	bgyb
不攻自破	bgzp
闭关自守	bgzu
不敢造次	bgzc
八竿子打不着	bgzv
不慌不忙	bhbm
饱汉不知饿汉饥	bhbj
变化多端	bhdd
不遑多让	bhdr
不寒而栗	bhel
不欢而散	bhes
别鹤孤鸾	bhgl
北回归线	bhgx
白虹贯日	bhgr
不患寡而患不均	bhgj
不怀好意	bhhy
不合常理	bhil
不合理	bhl
白鹤亮翅	bhli
冰火两重天	bhlt
悲欢离合	bhlh
变幻莫测	bhmc
兵荒马乱	bhml
不患贫而患不均	bhpj
暴虎冯河	bhph
百花齐放	bhqf
碧海青天	bhqt
傍花随柳	bhsl
不合时宜	bhuy
不惑之年	bhvn
抱恨终天	bhvt
百花争艳	bhvy
变幻无常	bhwi
变化无穷	bhwq
冰魂雪魄	bhxp
不好意思	bhys
背后一套	bhyt
白毫银针	bhyv
不吵不闹	bibn
罢黜百家	bibj
把持不住	bibv
百吃不厌	biby
必成大器	bidq
不成方圆	bify
百尺竿头	bigt
百尺竿头更进一步	bigb
百川归海	bigh
不差毫厘	bihl
不成敬意	bijy
别出机杼	bijv
拔出萝卜带出泥	biln
鞭长莫及	bimj
不成其为	biqw
必承其重	biqv
鼻塞	bis
不出所料	bisl
不成体统	bitt
悲春伤秋	biuq
不差上下	biux
不传之秘	bivm
不吃这一套	bivt
不成问题	biwt
别出心裁	bixc
报仇雪恨	bixh
不耻下问	bixw
不齿于人	biyr
抱成一团	biyt
不出意外	biyw
不耻最后	bizh
半斤八两	bjbl
不见不散	bjbs
不骄不躁	bjbz
不疾不徐	bjbx
包教包会	bjbh
饱经沧桑	bjcs
八九点钟	bjdv
不减当年	bjdn
不记得了	bjdl
不计代价	bjdj
比肩而立	bjel
不教而诛	bjev
不胫而走	bjez
贝加尔湖	bjeh
不进反退	bjft
饱经风霜	bjfu
不解风情	bjfq
宝剑锋从磨砺出	bjfi
不及格	bjg
不见棺材不落泪	bjgl
八九个人	bjgr
八九个月	bjgy
白驹过隙	bjgx
保驾护航	bjhh
不计后果	bjhg
别具慧眼	bjhy
不计成本	bjib
不仅仅	bjj
比肩接踵	bjjv
不积跬步	bjkb
不积跬步无以至千里	bjkl
白驹空谷	bjkg
背井离乡	bjlx
保加利亚	bjly
兵精粮足	bjlz
布加勒斯特	bjlt
不结盟运动	bjmd
不讲面子	bjmz
不拘泥于	bjny
不久前	bjq
并驾齐驱	bjqq
不近情理	bjql
不计其数	bjqu
不计前嫌	bjqx
不仅如此	bjrc
不绝如缕	bjrl
不近人情	bjrq
不尽人意	bjry
半截入土	bjrt
不见森林	bjsl
不假思索	bjss
巴基斯坦	bjst
悲剧色彩	bjsc
不见天日	bjtr
不见兔子不撒鹰	bjty
北京市	bju
杯酒释兵权	bjuq
八九十岁	bjus
必经之地	bjvd
不羁之才	bjvc
败军之将	bjvj
必经之路	bjvl
百家争鸣	bjvm
不经之谈	bjvt
不见真佛不烧香	bjvx
不解之缘	bjvy
保家卫国	bjwg
不讲武德	bjwd
不尽完美	bjwm
把酒问青天	bjwt
百家姓	bjx
不拘小节	bjxj
不尽相同	bjxt
不经意	bjy
别具一格	bjyg
八九月份	bjyf
不经一事不长一智	bjyv
败局已定	bjyd
不讲义气	bjyq
不久以后	bjyh
败家子	bjz
不进则退	bjzt
北京大学	bjdx
北京师范大学	bjux
百看不厌	bkby
闭口不谈	bkbt
不可不知	bkbv
不可不防	bkbf
不可动摇	bkdy
背靠大树好乘凉	bkdl
不可遏制	bkev
不可否认	bkfr
不可估量	bkgl
不可告人	bkgr
不可改变	bkgb
不可或缺	bkhq
不堪回首	bkhu
鼻孔朝天	bkit
不可兼得	bkjd
不可居无竹	bkjv
不可开交	bkkj
不可抗力	bkkl
不可理喻	bkly
百口莫辩	bkmb
不可名状	bkmv
不可磨灭	bkmm
不可逆转	bknv
不可能的	bknd
不可能吧	bknb
不可偏废	bkpf
不可企及	bkqj
不可缺少	bkqu
不可全信	bkqx
不可侵犯	bkqf
不堪入耳	bkre
不堪入目	bkrm
碧空如洗	bkrx
宾客如云	bkry
不看僧面看佛面	bksm
不可思议	bksy
不可同日而语	bkty
不可推卸	bktx
别开生面	bkum
不堪设想	bkux
不可捉摸	bkvm
不可置信	bkvx
不可知论	bkvl
不可终日	bkvr
不可外扬	bkwy
不可懈怠	bkxd
不可小视	bkxu
不可小觑	bkxq
不可信其无	bkxw
不可想象	bkxx
不可以	bky
不可以吗	bkym
不可言传	bkyi
不堪一击	bkyj
不可言状	bkyv
不可逾越	bkyy
不快也光	bkyg
不可自拔	bkzb
不可造次	bkzc
不可再生	bkzu
不堪造就	bkzj
不离不弃	blbq
波澜不惊	blbj
不伦不类	blbl
表里不一	blby
不冷不热	blbr
不理不睬	blbc
奔流不息	blbx
不吝赐教	blcj
波罗的海	bldh
薄利多销	bldx
布拉迪斯拉发	bldf
不劳而获	bleh
比邻而居	blej
不露锋芒	blfm
不良反应	blfy
拨乱反正	blfv
别浪费了	blfl
不留痕迹	blhj
百炼成钢	blig
鬓乱钗横	blih
半路出家	blij
兵临城下	blix
布拉柴维尔	blie
兵来将挡	bljd
濒临绝境	bljj
不良记录	bljl
本来就是	blju
步履艰难	bljn
不落窠臼	blkj
暴力抗法	blkf
筚路蓝缕	blll
不了了之	bllv
摆龙门阵	blmv
本来面目	blmm
步履蹒跚	blpu
不留情面	blqm
波澜起伏	blqf
壁立千仞	blqr
博览群书	blqu
布里奇顿	blqd
暴力倾向	blqx
表里如一	blry
病来如山倒	blrd
壁垒森严	blsy
布鲁塞尔	blse
巴勒斯坦	blst
百里挑一	blty
白里透红	blth
不论是	blu
不露声色	blus
不虑胜先虑败	blub
拨乱视听	blut
不吝指教	blvj
波澜壮阔	blvk
别来这一套	blvt
芭蕾舞	blw
白露为霜	blwu
逼良为娼	blwi
步履维艰	blwj
包罗万象	blwx
别来无恙	blwy
不良习惯	blxg
玻璃纤维	blxw
半老徐娘	blxn
不利因素	blys
表里一致	blyv
不留余地	blyd
本来以为	blyw
白龙鱼服	blyf
伯利兹	blz
不良资产	blzi
暴戾恣睢	blzs
不明白	bmb
不明不白	bmbb
闭门不出	bmbi
不蔓不枝	bmbv
半梦半醒	bmbx
不谋而合	bmeh
不默而生	bmeu
笔墨官司	bmgs
摆明车马	bmim
病魔缠身	bmiu
八面来风	bmlf
班门弄斧	bmnf
不瞒你说	bmnu
不谋其政	bmqv
闭门思过	bmsg
闭目塞听	bmst
表面上看	bmuk
不明事理	bmul
不毛之地	bmvd
百忙之中	bmvv
不明真相	bmvx
笔墨纸砚	bmvy
表面文章	bmwv
兵马未动，粮草先行	bmwx
白马王子	bmwz
宝马香车	bmxi
表面现象	bmxx
并没有	bmy
表面一套	bmyt
不名一钱	bmyq
不名一文	bmyw
北冥有鱼	bmyy
不鸣则已	bmzy
不男不女	bnbn
百年不遇	bnby
不年不节	bnbj
不怒而威	bnew
百年好合	bnhh
百鸟朝凤	bnif
不念旧恶	bnje
不难看出	bnki
百年难遇	bnny
饱暖思淫欲	bnsy
搬弄是非	bnuf
百年树人	bnur
白内障	bnv
不能挽回	bnwh
笨鸟先飞	bnxf
不难想象	bnxx
不能自拔	bnzb
不能自已	bnzy
不怒自威	bnzw
不怕不怕	bpbp
不偏不倚	bpby
不破不立	bpbl
不怕不识货	bpbh
不排除	bpi
剥皮抽筋	bpij
杯盘狼藉	bplj
不怕没柴烧	bpmu
宾朋满座	bpmz
鞭辟入里	bprl
不怕死	bps
白皮书	bpu
半瓶水，响叮当	bpud
白跑一趟	bpyt
不怕一万	bpyw
不怕一万，就怕万一	bpyy
不平则鸣	bpzm
不欺暗室	bqau
不清不楚	bqbi
不屈不挠	bqbn
不确定性	bqdx
不期而至	bqev
不期而遇	bqey
避其锋芒	bqfm
薄情寡义	bqgy
不求回报	bqhb
步其后尘	bqhi
八千里路云和月	bqly
兵强马壮	bqmv
屏气凝神	bqnu
病去如抽丝	bqrs
避其锐气	bqrq
鼻青脸肿	bqlv
版权所有	bqsy
不切实际	bquj
比起这个	bqvg
不情之请	bqvq
霸权主义	bqvy
不求闻达于诸侯	bqwh
不起眼	bqy
不求有功	bqyg
冰清玉洁	bqyj
不起作用	bqzy
不请自来	bqzl
不仁不义	brby
勃然变色	brbs
不然的话	brdh
勃然大怒	brdn
哺乳动物	brdw
不容分说	brfu
病入膏肓	brgh
病入骨髓	brgs
白热化	brh
薄弱环节	brhj
不容忽视	brhu
步人后尘	brhi
不入虎穴	brhx
不入虎穴，焉得虎子	brhz
白日见鬼	brjg
不容乐观	brlg
傍人门户	brmh
被人卖了还帮着数钱	brmq
不如人意	brry
不如退而结网	brtw
不辱使命	brum
不如授人以渔	bruy
不认账	brv
步入正轨	brvg
不忍直视	brvu
不容置喙	brvh
不容置疑	brvy
别绕弯子	brwz
兵戎相见	brxj
不容小觑	brxq
不容有失	bryu
不如意事常八九	bryj
不忍卒读	brzd
白日做梦	brzm
半死不活	bsbh
百思不得其解	bsb
百思不解	bsbj
不死不休	bsbx
不三不四	bsbs
不思悔改	bshg
不思进取	bsjq
白色恐怖	bskb
巴塞罗那	bsln
不思量自难忘	bslw
波斯尼亚	bsny
比死人多口气	bsrq
不速之客	bsvk
必死无疑	bswy
拜托拜托	btbt
不痛不痒	btby
半推半就	btbj
不吐不快	btbk
笨头笨脑	btbn
抱头大哭	btdk
八抬大轿	btdj
白头到老	btdl
不停的说	btdu
不同的人	btdr
半途而废	btef
不同凡响	btfx
不太方便	btfb
不退反进	btfj
不同凡俗	btfs
别太过分	btgf
不太高兴	btgx
不太好吧	bthb
不太好看	bthk
白天黑夜	bthy
冰糖葫芦	bthl
不同程度	btid
不同程度上	btiu
拔腿就跑	btjp
不太吉利	btjl
不太可能	btkn
不太看好	btkh
别提了	btl
不太了解	btlj
遍体鳞伤	btlu
不太理想	btlx
抱头乱串	btli
不听老人言	btly
不听老人言，吃亏在眼前	btlq
不太明白	btmb
不太满意	btmy
不太明显	btmx
悲天悯人	btmr
不太安全	btaq
不听劝	btq
不太清楚	btqi
不通情理	btql
抱团取暖	btqn
不太认识	btru
不太认同	btrt
暴跳如雷	btrl
不通人情	btrq
抱头痛哭	bttk
暴殄天物	bttw
不太舒服	btuf
不太熟悉	btux
不太适应	btuy
半桶水，响叮当	btud
抱头鼠窜	btuc
遍体生寒	btuh
不同之处	btvi
不同政见	btvj
别太晚了	btwl
不太像	btx
冰天雪地	btxd
白头偕老	btxl
波涛汹涌	btxy
不太喜欢	btxh
不太习惯	btxg
不同寻常	btxi
悲痛欲绝	btyj
不太一样	btyy
不提也罢	btyb
不太赞成	btzi
百试百灵	bubl
半身不遂	bubs
不声不响	bubx
比上不足，比下有余	buby
比上不足	bubz
变生不测	bubc
把屎把尿	bubn
辨识度	bud
不识大体	budt
不说二话	bueh
不守妇道	bufd
饱受非议	bufy
不适合	buh
不识好歹	buhd
班师回朝	buhi
不识好人心	buhx
白山黑水	buhu
杯水车薪	buix
不是吃素的	buid
不胜酒力	bujl
备受煎熬	buja
避实击虚	bujx
宝山空回	bukh
百事可乐	bukl
逼上梁山	bulu
不甚明了	buml
背山面水	bumu
八十年代	bund
不胜其烦	buqf
白手起家	buqj
冰释前嫌	buqx
比试切磋	buqc
不胜荣幸	burx
不识时务	buuw
不是省油的灯	buud
不失时机	buuj
饱食终日	buvr
不时之需	buvx
备受瞩目	buvm
不失为	buw
榜上无名	buwm
必输无疑	buwy
不是问题	buwt
博士学位	buxw
不适应	buy
不说也罢	buyb
不是一个	buyg
冰山一角	buyj
榜上有名	buym
不是鱼死，就是网破	buyp
背水一战	buyv
败事有余	buyy
不知不觉	bvbj
包治百病	bvbb
百战不殆	bvbd
百折不回	bvbh
不折不扣	bvbk
保质保量	bvbl
百折不挠	bvbn
百战百胜	bvbu
半遮半掩	bvby
不知道了	bvdl
不知道为什么	bvdm
不知颠倒	bvdd
不战而屈人之兵	bveb
不战而胜	bveu
不知凡几	bvfj
本职工作	bvgz
不知高低	bvgd
不知高下	bvgx
不知甘苦	bvgk
兵者诡道也	bvgy
标准化	bvh
屏住呼吸	bvhx
不知好歹	bvhd
白纸黑字	bvhz
不着痕迹	bvhj
不知悔改	bvhg
不支持了	bvil
扮猪吃老虎	bvih
不知就里	bvjl
避重就轻	bvjq
不知进退	bvjt
宾主尽欢	bvjh
不追既往	bvjw
不知廉耻	bvli
不斩来使	bvlu
不知利害	bvlh
不置可否	bvkf
彼之蜜糖	bvmt
不撞南墙不回头	bvnt
彼之砒霜	bvpu
不知其二	bvqe
百转千回	bvqh
不知去向	bvqx
不知轻重	bvqv
不知权变	bvqb
不知其所以然	bvqr
宾至如归	bvrg
不知肉味	bvrw
不知所措	bvsc
不知所谓	bvsw
不知所终	bvsv
不知所踪	bvsz
不知死活	bvsh
不知所云	bvsy
不知所以然	bvsr
不知痛痒	bvty
不知天上宫阙	bvtq
不知天高地厚	bvth
不知深浅	bvuq
不知生死	bvus
必争之地	bvvd
不正之风	bvvf
伯仲之间	bvvj
不治之症	bvvv
不知者不罪	bvvz
不指望	bvw
不知为何	bvwh
败者为寇	bvwk
不知为不知	bvwv
避之唯恐不及	bvwj
不知羞耻	bvxi
不至于	bvy
不至于吧	bvyb
闭着眼睛	bvyj
不止一次	bvyc
不止一个	bvyg
不值一提	bvyt
不值一哂	bvyu
白纸一张	bvyv
不值一文	bvyw
报之以李	bvyl
秉烛夜游	bvyy
秉烛夜话	bvyh
敝帚自珍	bvzv
不知自量	bvzl
不温不火	bwbh
百闻不如一见	bwbj
不闻不问	bwbw
不枉此行	bwcx
不无道理	bwdl
博闻多识	bwdu
别无二致	bwev
博物馆	bwg
不无关系	bwgx
别无长物	bwiw
不忘初心	bwix
兵无常势	bwiu
百无禁忌	bwjj
保外就医	bwjy
不问可知	bwkv
博闻强记	bwqj
博闻强识	bwqv
不畏强暴	bwqb
不为人知	bwrv
别无所求	bwsq
不为所动	bwsd
别无他求	bwtq
别无他念	bwtn
别无他途	bwtt
霸王条款	bwtk
别无他物	bwtw
别无他法	bwtf
保卫战	bwv
不务正业	bwvy
比武招亲	bwvq
不为瓦全	bwwq
不为五斗米折腰	bwwy
别无选择	bwxz
霸王硬上弓	bwyg
百无一用是书生	bwyu
白雪皑皑	bxaa
便携版	bxb
半信不信	bxbx
补血补气	bxbq
不咸不淡	bxbd
不修边幅	bxbf
半新不旧	bxbj
不相伯仲	bxbv
本相毕露	bxbl
本乡本土	bxbt
半信半疑	bxby
并行不悖	bxbb
不虚此行	bxcx
冰雪聪明	bxcm
博学多才	bxdc
博学多闻	bxdw
不想多说	bxdu
彪形大汉	bxdh
碧血丹心	bxdx
败兴而归	bxeg
不宣而战	bxev
不习惯了	bxgl
保险公司	bxgs
不惜工本	bxgb
兵行诡道	bxgd
八仙过海	bxgh
八仙过海，各显神通	bxgt
八仙过海，各显其能	bxgn
白雪公主	bxgv
不想活了	bxhl
笔下超生	bxiu
抱薪救火	bxjh
悲喜交集	bxjj
必先苦其心志	bxkv
本小利大	bxld
必先利其器	bxlq
标新立异	bxly
本小利微	bxlw
不懈努力	bxnl
本性难移	bxny
本性难改	bxng
屏息凝神	bxnu
保险起见	bxqj
败絮其中	bxqv
背信弃义	bxqy
不省人事	bxru
不徇私情	bxsq
半小时	bxu
笔下生花	bxuh
不相上下	bxux
不祥之兆	bxvv
败下阵来	bxvl
饱学之士	bxvu
不信这个邪	bxvx
不屑置辩	bxvb
宝相庄严	bxvy
冰消瓦解	bxwj
不相为谋	bxwm
不学无术	bxwu
不小心	bxx
不幸言中	bxyv
不屑一顾	bxyg
比下有余	bxyy
不惜一切代价	bxyj
不孝有三，无后为大	bxyd
不肖子孙	bxzs
不依不饶	bybr
暴饮暴食	bybu
不言不语	byby
贬义词	byc
白云苍狗	bycg
便宜从事	bycu
不用担心	bydx
不要当真	bydv
别有洞天	bydt
必要的话	bydh
不用多说	bydu
毕业典礼	bydl
八音迭奏	bydz
不翼而飞	byef
不约而同	byet
不言而喻	byey
不一而足	byez
不由分说	byfu
别有风味	byfw
不用管了	bygl
比翼高飞	bygf
必有后福	byhf
必有回响	byhx
不以成败论英雄	byix
不宜久留	byjl
拨云见日	byjr
必有近忧	byjy
不用客气	bykq
不予理睬	bylc
白云蓝天	bylt
不亦乐乎	bylh
饱以老拳	bylq
比翼连枝	bylv
毕业论文	bylw
布宜诺斯艾利斯	byns
不厌其烦	byqf
不远千里	byql
白衣卿相	byqx
白云千载空悠悠	byqy
暴雨如注	byrv
半夜三更	bysg
必有所求	bysq
别有天地	bytd
白衣天使	bytu
比翼双飞	byuf
布衣蔬食	byuu
毕业设计	byuj
不义之财	byvc
鲍鱼之肆	byvs
布衣之交	byvj
必由之路	byvl
不予置评	byvp
本以为	byw
不要忘记	bywj
不以为耻	bywi
不远万里	bywl
不以为然	bywr
必有我师	bywu
白玉无瑕	bywx
不以物喜，不以己悲	bywb
不以为意	bywy
不允许	byx
闭月羞花	byxh
便宜行事	byxu
别有心肝	byxg
不一样	byy
不一样的	byyd
不疑有他	byyt
不遗余力	byyl
别有一番	byyf
别有用心	byyx
别有一番风味	byyw
不言自明	byzm
不由自主	byzv
不早不晚	bzbw
笨嘴笨舌	bzbu
不醉不归	bzbg
不在此列	bzcl
半自动化	bzdh
不做凤尾	bzfw
不足挂齿	bzgi
不在话下	bzhx
奔走呼号	bzhh
璧坐玑驰	bzji
不做亏心事	bzku
不自量力	bzll
笔走龙蛇	bzlu
憋足了劲	bzlj
不怎么样	bzmy
败走麦城	bzmi
八字没一撇	bzmp
摆在面前	bzmq
抱子弄孙	bzns
不在其位	bzqw
不在其位，不谋其政	bzqv
不遭人妒是庸才	bzrc
必遭天谴	bztq
不择手段	bzud
笨嘴拙舌	bzvu
百足之虫，死而不僵	bzvj
不足之处	bzvi
不足为外人道	bzwd
不足为据	bzwj
不足为患	bzwh
不足为虑	bzwl
不足为凭	bzwp
不足为奇	bzwq
不足为训	bzwx
